employee_id,first_name,last_name,province,city,date_of_joining,email,phone_number
13531478,George,Walker,New Brunswick,Moncton,2016-02-20,wilsonsavannah@gmail.com,426.639.1868
86049659,Jennifer,Woods,Prince Edward Island,Stratford,2023-09-23,joanna69@yahoo.com,998.036.1189
69332835,Gloria,Gonzalez,Ontario,Toronto,2014-12-02,qstokes@yahoo.com,909-137-4730x088
00045544,Thomas,Harris,Newfoundland and Labrador,Gander,2014-08-13,omiller@chan-valdez.info,723.733.8350x93962
32995277,Melissa,Cisneros,Ontario,Ottawa,2019-08-04,jochoa@morton-johnson.com,343-053-8476x697
07520309,Christopher,Spears,Prince Edward Island,Summerside,2023-09-28,warrenjoseph@gmail.com,(143)153-4583x0543
39127306,Ashlee,Myers,Quebec,Laval,2020-12-30,vasquezhailey@yahoo.com,273.183.4168x013
21612883,Allison,Smith,British Columbia,Burnaby,2017-09-10,aaron62@nelson.com,(742)125-9913x164
39205965,Crystal,Willis,Manitoba,Steinbach,2023-02-14,cannonalexander@yahoo.com,926.518.0379x898
92285358,Tammy,Adams,Quebec,Longueuil,2018-01-08,erinobrien@jones.com,851-017-3045
23745832,Jerry,Lynch,Manitoba,Steinbach,2020-10-25,frank49@monroe.com,349.561.4891x6663
11474695,Julie,Ramirez,Saskatchewan,Prince Albert,2023-05-05,amysmith@gmail.com,621.739.2411
57698457,Andrew,Parsons,Prince Edward Island,Montague,2022-12-24,millergary@allen.com,+1-910-585-1023x457
30408459,Jennifer,Jarvis,Nova Scotia,New Glasgow,2016-06-17,martinamy@simon-moon.org,100.554.2939
13869227,Jasmine,Ramirez,Alberta,Edmonton,2016-03-25,jimmy60@gmail.com,259.432.0006x078
91823542,Allen,Johnson,Newfoundland and Labrador,Grand Falls-Windsor,2019-05-29,stephensanthony@reed.info,+1-533-456-2076x482
45070266,Christine,Reynolds,New Brunswick,Fredericton,2020-04-11,tina35@yahoo.com,019.283.6059x3713
46750131,Jacob,Young,Prince Edward Island,Charlottetown,2015-01-28,langmaria@hotmail.com,(391)605-9517
93684243,Samuel,Murphy,Alberta,Red Deer,2014-11-25,guerreroscott@hotmail.com,799-999-9146x3158
68613329,Jacob,Reed,Nova Scotia,Truro,2021-12-14,murrayrobert@mckenzie.com,001-799-882-6745x74011
82391490,Robert,Williamson,Quebec,Gatineau,2022-03-03,ibaird@yahoo.com,+1-174-592-0041x485
59461665,Lisa,Campbell,Alberta,Lethbridge,2020-10-26,alishaolsen@gordon.org,+1-568-988-3946
06473533,David,Scott,Ontario,Mississauga,2020-06-18,kthomas@johnson.net,(879)485-5240
21287263,Valerie,Smith,Alberta,Red Deer,2019-01-23,davidsonalexa@gmail.com,147.929.5933x95313
26739323,Daniel,Ford,Newfoundland and Labrador,Corner Brook,2015-12-22,scottgarcia@rivera-thomas.com,001-038-854-5468x7523
16770713,Frank,Blackwell,British Columbia,Victoria,2020-03-30,jennifer64@yahoo.com,+1-986-684-6535x028
35936702,Frank,Smith,British Columbia,Richmond,2020-12-21,kavery@jones-martin.com,7462856377
92735663,Robert,Smith,New Brunswick,Moncton,2019-07-19,jhoffman@yahoo.com,001-339-512-8255x0788
73152721,Mary,Wells,Alberta,St. Albert,2014-08-03,zsmith@rose-mata.com,9126083459
44715711,Kelly,Shannon,Saskatchewan,Yorkton,2021-11-12,jameswelch@shea-anderson.com,001-472-740-0520x0739
